ATENEO,INDICATORE SPESE DI PERSONALE ‐ dlgs 49/12,Indicatore ISEF,REGIME ASSUNZIONALE (DPCM 31/12/2014),Totale cessazioni,Totale cessazioni (al netto ric t.d. a) L. 240/10 e Legge 230/05),TOTALE PUNTI ORGANICO,di cui CONGELATI PER MOBILITA' DALLE PROVINCE (Legge stabilità 2015),PUNTI ORGANICO UTILIZZABILI,di cui VINCOLATI all'assunzione di RICERCATORI A TEMPO DET
Scuola Superiore Sant'Anna,42.39%,1.91,30%+Δ,2.60,2.60,4.90,0.18,4.72,
SIENA,70.05%,1.02,30%+Δ,29.00,29.00,9.33,0.99,8.34,
Stranieri di SIENA,45.29%,1.53,30%+Δ,1.25,1.25,2.17,0.08,2.10,
Scuola IMT‐LUCCA,37.72%,2.17,30%+Δ,1.00,,2.06,,2.06,1.00
PERUGIA,81.68%,1.00,30%,36.60,36.60,10.98,2.16,8.82,
Stranieri di PERUGIA,73.06%,1.12,30%+Δ,3.10,3.10,1.47,0.27,1.20,
PADOVA,63.91%,1.23,30%+Δ,71.25,71.25,43.23,3.65,39.59,
'Ca' Foscari' VENEZIA,58.70%,1.35,30%+Δ,11.75,10.75,12.91,0.41,12.50,1.00
Università IUAV di VENEZIA,68.65%,1.19,30%+Δ,10.25,10.25,5.02,0.74,4.29,
VERONA,63.82%,1.26,30%+Δ,22.10,22.10,15.21,0.78,14.43,
Totale,69.61%,1.15,,1.82.31,1757.45,901.79,82.14,819.65,23.06
